,Layer,CountBusiness,CountForum,CountPresse,CountWikipedia,Transform,FreqBusiness,FreqForum,FreqPresse,FreqWikipedia
0,0,3402,82161,15415,215,Fix encoding errors : windows1252 read as iso8859-1,0.5105601516876431,41.818745807271306,0.81348470384679,0.006025380255637778
1,1,845,114,1373,37,Fix encoding errors : utf8 read as windows1252,0.1268146173357021,0.058024330546474955,0.07245634112109262,0.0010369259044585943
2,2,0,0,366,0,Fix encoding errors :  windows1252 read as utf8,0.0,0.0,0.019314654661558555,0.0
3,3,18737,850,10766,5,Merge Unicode combining chars,2.8119828225077512,0.432637552320208,0.5681463718205995,0.00014012512222413436
4,4,42983,685782,122306,146961,Ignore control chars,6.450736919456192,349.0529951826552,6.454366538351313,4.118585617436202
5,5,129,78,5635,5372,Replace latin letter symbols,0.019359864658349785,0.03970085774232497,0.29737180059530727,0.15055043131760995
6,6,44003,12852,191337,613895,Replace latin letter ligatures,6.603814919080354,6.541479791081545,10.097289833274944,17.20442238155699
7,7,16847,8178,48528,15336,Replace latin number symbols,2.528338293792394,4.162482238676072,2.5609332279128787,0.4297917748858649
8,8,5426083,2452744,12967674,8649100,Normalize equivalent chars,814.3273837594774,1248.4107772095015,684.3337297094855,242.3912389257521
9,9,416,1494,9323,266901,Replace cyrillic and greek chars looking like latin letters,0.06243181161142256,0.7604241213722245,0.49199597106478254,7.4799070493487365
10,10,425,154,1878,325600,Replace infrequent chars : latin letters with diacritics,0.06378249984340045,0.07838374477330827,0.09910634277160374,9.12494795923563
11,11,571,921,22598,592761,Replace infrequent chars : other scripts,0.08569366449548627,0.46877551257283717,1.1925479946500006,16.61214151494002
12,12,928,314,7562,2625,Replace infrequent chars : symbols,0.13927096436394265,0.15982140168064154,0.39906398511121804,0.07356568916767053
13,13,126,87,404,586,Replace infrequent chars : chars to ignore,0.018909635247690487,0.044281725943362465,0.0213200013204089,0.016422664324668546
